251 0 1
800 429.144 0.752351 
801 456.712 0.318737
802 402.81 0.300145
803 0 1
804 396.819 0.327855
805 396.52 0.319518
806 354.652 0.314528
807 399.314 0.29804
808 409.675 0.300935
809 357.557 0.321206
810 398.307 0.309353
811 376.141 0.30792
812 384.383 0.312733
813 442.482 0.308663
814 431.815 0.297356
815 463.59 0.298459
820 380.674 0.32573
821 354.259 0.304835
822 397.519 0.318128
823 391.28 0.313244
824 454.597 0.315405
825 405.517 0.403148
826 436.526 0.315986
827 404.829 0.321497
828 420.198 0.307463
829 172.013 7.20317
830 297.816 5.75454
831 390.562 0.31202
832 453.709 0.301177
833 407.524 0.305993
834 420.088 0.338142
835 426.881 0.308312
840 444.426 0.353857
841 452.619 0.335457
842 438.375 0.324401
843 441.781 0.321892
844 0 1
845 393.799 0.315623
846 378.168 0.304684
847 374.507 0.317861
848 369.107 0.3138
849 345.872 0.318264
850 332.343 0.316718
851 337.455 0.307263
852 338.629 0.322364
853 330.554 0.323734
854 322.351 0.317763
855 0 1
