23	-60132
24	-59305
25	-794524
26	-336346
27	-345041
28	-338492
29	-45039
30	-42564
31	-345621
32	-340840
33	-344849
34	-338655
35	-61169
36	-43580
37	-332935
38	-346646
39	-326172
40	-331128
41	-63208
42	-58948
43	-335395
44	-328400
45	-327744
46	-359249
47	-50024
48	-44191
49	-340671
50	-347781
51	-343426
52	-352684
53	-48203
54	-45992
55	-347620
56	-347813
58	-349596
59	-47072
60	-38110
62	-329207
63	-339612
65	-60763
66	-41325
67	-329713
68	-323230
69	-322069
70	-329892
71	-48500
72	-47803
73	-337832
74	-337847
75	-337187
76	-334653
77	-64081
78	-55458
79	-332324
80	-332596
81	-337458
83	-44031
84	-54916
85	-331133
86	-330805
87	-333794
88	-330276
89	-59901
90	-59878
91	-325755
92	-331420
93	-331589
94	-330995
95	-192637
96	-190223
97	-490736
98	-486214
99	-487406
100	-482200
101	-186253
102	-184255
103	-484252
104	-483063
105	-900820
106	-487862
107	-200967
108	-187730
109	-480874
110	-470530
111	-484282
112	-652330
113	-202144
114	-188037
115	-489919
116	-509310
117	-493380
118	-477941
119	-207224
120	-183869
121	-470524
122	-464682
123	-473032
124	-481649
125	-197937
126	-203670
127	-483764
128	-486441
129	-487856
130	-485974
131	-183661
132	-177847
133	-472237
134	-478567
135	-472570
136	-471152
137	-182064
138	-179769
139	-490397
140	-492193
141	-491985
142	-495476
143	-190745
144	-186629
145	-484730
146	-485318
147	-482145
148	-487530
149	-181900
150	-181768
151	-474185
152	-481299
153	-481535
154	-490493
155	-174426
156	-179304
157	-512720
158	-513885
159	-512750
160	-497100
161	-195440
162	-198067
163	-490703
164	-470485
165	-481515
166	-496723
251	96700
301	57091
302	56107
303	57107
304	51678
305	73763
306	77153
307	68227
308	67135
309	63252
310	64255
311	56094
312	63326
313	66892
314	66178
315	69957
316	71510
401	68646
402	68544
403	71859
404	65857
405	61565
406	62317
407	66803
408	66406
409	24374
410	23766
411	62864
412	63510
501	46750
502	52878
503	46308
504	51190
505	56017
506	52344
507	52767
508	56202
601	52335
602	52986
603	51302
604	49319
605	62440
606	61646
607	59666
608	55961
609	52256
610	50842
611	63151
612	61856
613	49084
614	50592
615	52141
616	55506
701	55492
702	58550
703	59155
704	58780
705	60508
706	55458
707	53712
708	57335
709	59836
710	59847
711	57267
712	52822
800	145700
801	145700
802	145700
804	145700
805	145700
806	145700
807	145700
808	145700
809	145700
810	145700
811	145700
812	145700
813	145700
814	145700
815	145700
820	145700
821	145700
822	145700
823	145700
824	145700
825	145700
826	145700
827	145700
828	145700
831	145700
832	145700
833	145700
834	145700
835	145700
840	145700
841	145700
842	145700
843	145700
845	145700
846	145700
847	145700
848	145700
849	145700
850	145700
851	145700
852	145700
853	145700
854	145700
