23	-13292
24	-21008
25	-315676
26	-281844
27	-289736
28	-284193
29	9565
30	9839
31	-286574
32	-282203
33	-284915
34	-280050
35	-18229
36	3485
37	-287332
38	-300879
39	-281810
40	-285379
41	-4873
42	-5983
43	-289241
44	-281429
45	-281552
46	-312032
47	2876
48	4869
49	-293677
50	-299249
51	-295248
52	-302102
53	4413
54	1744
55	-293875
56	-294857
58	-296761
59	-6207
60	-4385
62	-288766
64	-297297
65	-13681
66	6081
67	-286897
68	-280662
69	-278943
70	-285677
71	-698
72	2010
73	-289576
74	-289718
75	-289905
76	-287094
77	-16892
78	-16794
79	-283279
80	-283318
81	-288023
83	323
84	-15444
85	-280843
86	-279233
87	-282231
88	-278452
89	-9154
90	-18105
91	-278299
92	-285934
93	-283427
94	-283458
95	-39116
96	-32930
97	-325428
98	-321734
99	-321777
100	-317151
101	-36033
102	-38051
103	-335145
104	-334497
105	-339507
106	-333563
107	-40715
108	-25822
109	-325717
110	-315627
111	-323073
112	-328278
113	-43288
114	-30518
115	-337781
116	-355962
117	-340777
118	-326158
119	-48375
120	-30389
121	-311492
122	-306287
123	-314911
124	-323542
125	-44330
126	-48043
127	-322793
128	-326416
129	-327904
130	-324837
131	-34480
132	-26505
133	-314907
134	-320922
135	-314176
136	-313792
137	-29678
138	-24884
139	-324192
140	-324732
141	-325449
142	-328332
143	-35469
144	-30936
145	-324836
146	-326182
147	-322627
148	-327149
149	-27828
150	-28501
151	-325736
152	-332642
153	-332487
154	-340979
155	-30930
156	-25035
157	-353744
158	-354798
159	-353703
160	-337456
161	-38175
162	-42937
163	-333739
164	-313584
165	-340227
166	-323798
200	55947
201	0
202	2420
203	2819
204	57346
205	63865
206	-549
207	-9619
208	-17993
209	-18335
210	2399
211	2288
212	22050
213	22750
214	20185
215	20526
216	6272
217	5734
218	4608
219	-15
251	49400
501	0
