BR1D1 48500
BR1D2 64000
BR1D3 51000
BR1D4 63500
BR1D5 66000
BR1D6 71000
BR1D7 65000
BR1D8 72500
BR2D1 65500
BR2D2 70500
BR2D3 44500
BR2D4 59500
BR2D5 53000
BR2D6 59000
BR2D7 59000
BR2D8 55500
BR2D9 52000
BR2D10 54000
BR2D11 49000
BR2D12 60000
BR2D13 48500
BR2D14 70000
BR2D15 42000
BR2D16 60500
BR3D1 72000
BR3D2 59000
BR3D3 49000
BR3D4 60000
BR3D5 60000
BR3D6 60000
BR3D7 68000
BR3D8 44000
BR3D9 61000
BR3D10 58500
BR3D11 45000
BR3D12 56000
FR1D1 61000
FR1D2 53000
FR1D3 62500
FR1D4 63000
FR1D5 54000
FR1D6 65000
FR1D7 69500
FR1D8 0
FR2D1 59500
FR2D2 54000
FR2D3 62500
FR2D4 62000
FR2D5 66000
FR2D6 67000
FR2D7 53000
FR2D8 63000
FR2D9 51000
FR2D10 62000
FR2D11 55000
FR2D12 49000
FR2D13 43500
FR2D14 67000
FR2D15 68000
FR2D16 60000
FR3D1 59500
FR3D2 43500
FR3D3 50000
FR3D4 62500
FR3D5 54000
FR3D6 60500
FR3D7 60500
FR3D8 55000
FR3D9 62500
FR3D10 59500
FR3D11 50000
FR3D12 58500
