23	-17210
24	-21258
25	-325399
26	-291107
27	-299169
28	-293729
29	-942
30	1019
31	-310244
32	-306063
33	-308259
34	-303794
35	-20445
36	-1663
37	-305007
38	-318699
39	-299229
40	-303060
41	-22701
42	-21335
43	-298357
44	-290564
45	-291043
46	-320919
47	-4999
48	371
49	-303449
50	-308131
51	-304119
52	-311585
53	-9720
54	-8773
55	-306074
56	-306245
58	-308154
59	-5875
60	-5254
62	-294368
64	-303523
65	-19772
66	-1993
67	-292826
68	-286414
69	-285025
70	-291199
71	-8002
72	-19114
73	-299860
74	-300045
75	-299497
76	-297288
77	-16643
78	-16062
79	-288924
80	-288923
81	-294316
83	-5908
84	-13239
85	-287739
86	-287293
87	-289622
88	-286318
89	-13161
90	-17620
91	-294065
92	-301217
93	-298990
94	-298426
95	-9520
96	-8704
97	-349798
98	-345945
99	-345151
100	-340643
101	-8865
102	-6492
103	-295366
104	-294743
105	-299321
106	-293139
107	-16178
108	1891
109	-299384
110	-289829
111	-296879
112	-302516
113	-64293
114	-44545
115	-359583
116	-378099
117	-362765
118	-347491
119	-21497
120	-1018
121	-283505
122	-277394
123	-285468
124	-294928
125	-16981
126	-16323
127	-288095
128	-291767
129	-294068
130	-291134
131	-873
132	9734
137	1359
138	1449
139	-298130
140	-298894
141	-299071
142	-302329
143	3452
144	1222
145	-297040
146	-298478
147	-294543
148	-299363
149	-38463
150	-42315
151	-337572
152	-344926
153	-343900
154	-352961
155	5498
156	11747
157	-328566
158	-329151
159	-327783
160	-311445
161	-8487
162	-8875
163	-313991
164	-293577
165	-319890
166	-303538
502	4453
503	-621
504	2802
505	-44670
506	-42500
507	-41821
508	-40915
601	5853
602	995
603	-40981
604	-41867
605	-157
606	1386
607	-724
608	1685
609	3870
610	-3576
611	6817
612	-534
613	-33262
614	-35775
615	-2364
616	-3819
701	78
702	10860
703	5636
704	4606
705	4085
706	7086
707	5367
708	4786
709	-38267
710	-40579
711	-5060
712	-5461
800 -220000
801 -220000
802 -220000
803 -220000
804 -220000
805 -220000
806 -220000
807 -220000
808 -220000
809 -220000
810 -220000
811 -220000
812 -220000
813 -220000
814 -220000
815 -220000
816 -220000
817 -220000
818 -220000
819 -220000
820 -220000
821 -220000
822 -220000
823 -220000
824 -220000
825 -220000
826 -220000
827 -220000
828 -220000
829 -220000
830 -220000
831 -220000
832 -220000
833 -220000
834 -220000
835 -220000
836 -220000
837 -220000
838 -220000
839 -220000
840 -220000
841 -220000
842 -220000
843 -220000
844 -220000
845 -220000
846 -220000
847 -220000
848 -220000
849 -220000
850 -220000
851 -220000
852 -220000
853 -220000
854 -220000
855 -220000
