23	-114798
24	-120634
25	-414381
26	-381445
27	-389911
28	-384254
29	-90371
30	-92695
31	-398062
32	-394286
33	-396331
34	-392515
35	-120372
36	-104668
37	-391086
38	-404795
39	-385200
40	-389196
41	-106330
42	-109619
43	-390072
44	-383643
45	-382981
46	-413172
47	-111101
48	-106993
49	-404940
50	-409584
51	-405870
52	-413823
53	-107543
54	-102190
55	-400035
56	-400885
58	-401893
59	-109495
60	-99978
62	-390062
64	-400904
65	-95577
66	-116125
67	-382796
68	-375802
69	-374796
70	-380728
71	-99861
72	-105301
77	-122545
78	-124242
79	-388811
80	-389340
81	-392255
83	-103657
84	-114620
85	-389639
86	-389177
87	-391353
88	-387596
89	-114424
90	-121589
91	-383585
92	-390711
93	-390179
94	-389171
95	-97539
96	-99624
97	-448752
98	-444627
99	-444120
100	-439216
101	-98634
102	-99302
103	-442011
104	-441542
105	-440260
106	-446107
107	-108425
108	-86842
109	-386552
110	-376526
111	-389382
112	-383183
113	-102801
114	-89546
115	-403465
116	-420458
117	-405275
118	-391496
119	-109876
120	-93970
121	-427514
122	-420985
123	-428810
124	-437715
125	-111619
126	-113258
127	-382475
128	-387525
129	-388435
130	-386313
131	-92358
132	-77291
133	-437493
134	-443705
135	-436999
136	-436845
137	-90976
138	-93577
139	-391201
140	-392265
141	-392484
143	-99294
144	-95481
146	-397337
148	-398368
149	-97092
150	-91493
151	-436015
152	-444777
153	-442905
154	-452789
155	-98040
156	-88590
157	-418784
158	-419847
159	-419667
160	-402814
161	-157309
162	-157782
163	-444523
164	-424323
165	-434691
166	-451161
200	0
201	-55925
202	-57550
203	-57145
204	3706
205	2202
206	-60171
207	-61283
208	-69832
209	-70177
210	-45566
211	-45695
212	-45748
213	-45019
214	-47643
215	-47207
216	-59388
217	-55864
218	-54949
219	-51558
251	-350000
