800 chi2: 15.5918
801 chi2: 137.442
802 chi2: 22.096
804 chi2: 14.1643
805 chi2: 12.0311
806 chi2: 1.43376
807 chi2: 9.33558
808 chi2: 22.9621
809 chi2: 40.1193
810 chi2: 13.0743
811 chi2: 23.2904
812 chi2: 8.84287
813 chi2: 13.7657
814 chi2: 0.0175724
815 chi2: 12.9534
820 chi2: 44.8857
821 chi2: 0.0138068
822 chi2: 23.8687
823 chi2: 23.6361
824 chi2: 14.4458
825 chi2: 45.7523
826 chi2: 0.171383
827 chi2: 9.71249
828 chi2: 5.92923
829 chi2: 651.604
830 chi2: 5829.08
831 chi2: 8.27279
832 chi2: 31.4015
833 chi2: 21.0771
834 chi2: 75.2632
835 chi2: 56.8995
840 chi2: 25.8027
841 chi2: 4.21899
842 chi2: 13.6502
843 chi2: 3.30645
845 chi2: 11.2716
846 chi2: 7.05741
847 chi2: 10.1358
848 chi2: 8.69273
849 chi2: 15.4073
850 chi2: 8.51047
851 chi2: 13.0171
852 chi2: 10.3071
853 chi2: 14.8836
854 chi2: 13.4604
